restaurant_title,restaurant_phoneNumber,restaurant_address,restaurant_numReview,restaurant_starCount,restaurant_price,restaurant_category,restaurant_district,restaurant_web
The Alcove,(347) 813-4159,41-11 49th St,785,5,$$,"['Gastropubs', 'Tapas Bars', 'Breakfast & Brunch']",Woodside,https://www.yelp.com/biz/the-alcove-sunnyside?osq=Restaurants
Japan Village,(347) 584-4579,934 3rd Ave,200,3,$$,"['Japanese', 'Food Court']",Sunset Park,https://www.yelp.com/biz/japan-village-brooklyn?osq=Restaurants
The Flying Cock,(212) 689-6900,497 3rd Ave,492,4,$$,"['Pubs', 'Breakfast & Brunch']",Murray Hill,https://www.yelp.com/biz/the-flying-cock-new-york-2?osq=Restaurants
The Cabin NYC,(212) 777-0454,205 E 4th St,120,4,$$,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']",East Village,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?osq=Restaurants
North River Lobster Co,(212) 630-8831,Pier 81 W 41st St,537,3.5,$$,['Seafood'],Pier 81 W 41st St,https://www.yelp.com/biz/north-river-lobster-co-new-york?osq=Restaurants
Lillo Cucina Italiana,(347) 763-0899,331 Henry St,107,5,$$,"['Cafes', 'Italian']",Cobble Hill,https://www.yelp.com/biz/lillo-cucina-italiana-brooklyn?osq=Restaurants
Buttermilk Channel,(718) 852-8490,524 Court St,1846,4,$$,"['American (New)', 'Breakfast & Brunch']",Carroll Gardens,https://www.yelp.com/biz/buttermilk-channel-brooklyn?osq=Restaurants
Eataly NYC Flatiron,(212) 229-2560,200 5th Ave,5371,4,$$,"['Italian', 'Grocery', 'Cafes']",Flatiron,https://www.yelp.com/biz/eataly-nyc-flatiron-new-york?osq=Restaurants
Sakagura,(212) 953-7253,211 E 43rd St,1757,4,$$$,['Japanese'],Midtown East,https://www.yelp.com/biz/sakagura-new-york?osq=Restaurants
The Seafire Grill,(212) 935-3785,158 E 48th St,1185,4.5,$$$,"['Seafood', 'Steakhouses', 'Bars']",Midtown East,https://www.yelp.com/biz/the-seafire-grill-new-york-4?osq=Restaurants
Turntable Chicken Jazz,(212) 714-9700,20 W 33rd St,1948,4,$$,"['Chicken Wings', 'Korean']",Koreatown,https://www.yelp.com/biz/turntable-chicken-jazz-new-york-2?osq=Restaurants
Sea Wolf,(718) 366-3272,19 Wyckoff Ave,411,4,$$,"['Cocktail Bars', 'Seafood', 'American (Traditional)']",Bushwick,https://www.yelp.com/biz/sea-wolf-brooklyn?osq=Restaurants
Jiang Diner,(646) 484-5999,309 E 5th St,77,4,$$,"['Noodles', 'Chinese']",East Village,https://www.yelp.com/biz/jiang-diner-new-york?osq=Restaurants
Agora Turkish Restaurant,(212) 717-1220,1565 2nd Ave,512,4.5,$$,"['Turkish', 'Mediterranean', 'Halal']",Upper East Side,https://www.yelp.com/biz/agora-turkish-restaurant-new-york-2?osq=Restaurants
Bogota Latin Bistro,(718) 230-3805,141 5th Ave,2113,4,$$,"['Gluten-Free', 'Colombian']",Park Slope,https://www.yelp.com/biz/bogota-latin-bistro-brooklyn?osq=Restaurants
Scarpetta,(212) 691-0555,88 Madison Ave,1851,4,$$$,['Italian'],Flatiron,https://www.yelp.com/biz/scarpetta-new-york?osq=Restaurants
Glasserie,(718) 389-0640,95 Commercial St,346,4,$$$,"['Mediterranean', 'Bars']",Greenpoint,https://www.yelp.com/biz/glasserie-brooklyn-2?osq=Restaurants
Pepe Giallo,(212) 242-6055,195 10th Ave,609,4,$$,['Italian'],Chelsea,https://www.yelp.com/biz/pepe-giallo-new-york?osq=Restaurants
Adalya,(646) 896-1441,55 Irving Pl,126,4,$$,['Mediterranean'],Gramercy,https://www.yelp.com/biz/adalya-new-york?osq=Restaurants
Wayla,(212) 206-2500,100 Forsyth St,132,4.5,$$,['Thai'],Lower East Side,https://www.yelp.com/biz/wayla-new-york?osq=Restaurants
The Smith,(212) 496-5700,1900 Broadway,1577,4,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",Upper West Side,https://www.yelp.com/biz/the-smith-new-york-3?osq=Restaurants
Sup Crab,(212) 925-8083,97 Bowery,129,4,-,[],Lower East Side,https://www.yelp.com/biz/sup-crab-new-york?osq=Restaurants
Angkor Cambodian Bistro,(212) 758-2111,408 E 64th St,261,4.5,$$,"['Cambodian', 'Salad', 'Seafood']",Upper East Side,https://www.yelp.com/biz/angkor-cambodian-bistro-new-york?osq=Restaurants
Barton G,(212) 727-9888,400 E 67th St,4,4,-,[],Upper East Side,https://www.yelp.com/biz/barton-g-new-york?osq=Restaurants
Ela Taverna,(718) 599-1911,98 Berry St,115,4,$$,"['Greek', 'Mediterranean']",Williamsburg - North Side,https://www.yelp.com/biz/ela-taverna-brooklyn?osq=Restaurants
Dynasty Dim Sum,(917) 265-8775,381 3rd Ave,121,4,$$,['Dim Sum'],Kips Bay,https://www.yelp.com/biz/dynasty-dim-sum-new-york-2?osq=Restaurants
El Mate,(718) 222-1102,550 Court St,283,4.5,$$,"['Brazilian', 'Argentine', 'Steakhouses']",Carroll Gardens,https://www.yelp.com/biz/el-mate-brooklyn?osq=Restaurants
Karczma,(718) 349-1744,136 Greenpoint Ave,546,4.5,$$,['Polish'],Greenpoint,https://www.yelp.com/biz/karczma-brooklyn?osq=Restaurants
DeStefano’s Steakhouse,(718) 384-2836,89 Conselyea St,798,4.5,$$$,['Steakhouses'],Williamsburg - North Side,https://www.yelp.com/biz/destefanos-steakhouse-brooklyn?osq=Restaurants
Bajeko Sekuwa,(347) 808-8100,43-16 Queens Blvd,82,4,$$,['Himalayan/Nepalese'],Sunnyside,https://www.yelp.com/biz/bajeko-sekuwa-sunnyside?osq=Restaurants
Niche,(929) 274-1629,172 Delancey St,69,4,$$,['Japanese'],Lower East Side,https://www.yelp.com/biz/niche-new-york-3?osq=Restaurants
PizzArte,(212) 247-3936,69 W 55th St,1044,4,$$,"['Pizza', 'Italian', 'Gluten-Free']",Midtown West,https://www.yelp.com/biz/pizzarte-new-york?osq=Restaurants
Benemon,(212) 614-3006,108 E 4th St,514,4.5,$$,"['Japanese', 'Comfort Food', 'Tapas/Small Plates']",East Village,https://www.yelp.com/biz/benemon-new-york?osq=Restaurants
Bunker,(718) 386-4282,99 Scott Ave,704,4,$$,['Vietnamese'],East Williamsburg,https://www.yelp.com/biz/bunker-brooklyn?osq=Restaurants
Madre,(718) 389-8700,214 Franklin St,33,5,-,[],Greenpoint,https://www.yelp.com/biz/madre-brooklyn-2?osq=Restaurants
Ugly Kitchen,(212) 777-6677,103 1st Ave,601,4,$$,"['Bars', 'Asian Fusion', 'Filipino']",East Village,https://www.yelp.com/biz/ugly-kitchen-new-york?osq=Restaurants
Let’s Meat,(212) 889-0089,307 5th Ave,819,4,$$$,"['Korean', 'Barbeque', 'Buffets']",Koreatown,https://www.yelp.com/biz/lets-meat-new-york?osq=Restaurants
Black Iron Burger,(347) 380-4731,245 W 38th St,891,4,$$,"['Burgers', 'American (New)', 'Beer Bar']",Midtown West,https://www.yelp.com/biz/black-iron-burger-new-york-8?osq=Restaurants
The Black Derby,(646) 912-9061,310 W 4th St,172,4.5,$$,"['American (New)', 'French']",West Village,https://www.yelp.com/biz/the-black-derby-new-york?osq=Restaurants
AlMar,(718) 855-5288,111 Front St,409,4,$$,"['Italian', 'Breakfast & Brunch', 'Cocktail Bars']",DUMBO,https://www.yelp.com/biz/almar-brooklyn-2?osq=Restaurants
Evelina,(929) 298-0209,211 Dekalb Ave,142,4.5,$$$,['Italian'],Fort Greene,https://www.yelp.com/biz/evelina-brooklyn-2?osq=Restaurants
GunBae,(212) 321-2500,67 Murray St,246,4,$$,"['Korean', 'Karaoke', 'Barbeque']",TriBeCa,https://www.yelp.com/biz/gunbae-new-york?osq=Restaurants
Marlow Bistro,(212) 662-9020,1018 Amsterdam Ave,261,4,$$,"['Mediterranean', 'Pizza', 'Venues & Event Spaces']",Manhattan Valley,https://www.yelp.com/biz/marlow-bistro-new-york?osq=Restaurants
Faro,(718) 381-8201,436 Jefferson St,266,4,$$$,['Italian'],Bushwick,https://www.yelp.com/biz/faro-brooklyn?osq=Restaurants
Time Out Market New York,(917) 810-4855,55 Water St,133,3.5,$$,['Food Court'],DUMBO,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?osq=Restaurants
The Drunken Munkey - UES,(646) 998-4600,338 E 92nd St,948,4.5,$$,"['Indian', 'Cocktail Bars']",Yorkville,https://www.yelp.com/biz/the-drunken-munkey-ues-new-york?osq=Restaurants
Mercado Little Spain,(646) 495-1242,10 Hudson Yards,228,3.5,$$,['Spanish'],Chelsea,https://www.yelp.com/biz/mercado-little-spain-new-york?osq=Restaurants
Marea,(212) 582-5100,240 Central Park S,1966,4,$$$$,"['Italian', 'Seafood', 'Wine Bars']",Midtown West,https://www.yelp.com/biz/marea-new-york?osq=Restaurants
Coppelia,(212) 858-5001,207 W 14th St,1289,4,$$,['Cuban'],Chelsea,https://www.yelp.com/biz/coppelia-new-york?osq=Restaurants
Misi,(347) 566-3262,329 Kent Ave,205,4,-,[],Williamsburg - South Side,https://www.yelp.com/biz/misi-brooklyn?osq=Restaurants
Cheeseboat,(929) 295-8401,80 Berry St,375,4,$$,['Georgian'],Williamsburg - North Side,https://www.yelp.com/biz/cheeseboat-brooklyn?osq=Restaurants
Raclette,(917) 853-5377,511 E 12th St,1262,4,$$,"['Sandwiches', 'French']",East Village,https://www.yelp.com/biz/raclette-new-york?osq=Restaurants
Grand Banks,(212) 660-6312,Pier 25,419,4,$$$,"['Bars', 'Seafood', 'American (New)']",Pier 25,https://www.yelp.com/biz/grand-banks-new-york?osq=Restaurants
Old Tbilisi Garden,(212) 470-6064,174 Bleecker St,394,4,$$,"['Modern European', 'Wine Bars', 'Georgian']",Greenwich Village,https://www.yelp.com/biz/old-tbilisi-garden-new-york-5?osq=Restaurants
Lucali,(718) 858-4086,575 Henry St,1417,4.5,$$,['Pizza'],Carroll Gardens,https://www.yelp.com/biz/lucali-brooklyn-3?osq=Restaurants
Rosie’s,(212) 335-0114,29 E 2nd St,666,4,$$,['Mexican'],East Village,https://www.yelp.com/biz/rosies-new-york-2?osq=Restaurants
Burger & Lobster,(917) 565-9044,132 W 43rd St,866,4,$$,"['Seafood', 'Burgers']",Theater District,https://www.yelp.com/biz/burger-and-lobster-new-york-5?osq=Restaurants
Shanghai 21,(212) 766-6311,21 Mott St,1585,4,$$,['Shanghainese'],Chinatown,https://www.yelp.com/biz/shanghai-21-new-york-2?osq=Restaurants
Taste of Heaven,(718) 576-3146,251 Jackson St,122,5,$$,['Soul Food'],East Williamsburg,https://www.yelp.com/biz/taste-of-heaven-brooklyn?osq=Restaurants
Shaking Crab- Brooklyn,(929) 337-6140,230 5th Ave,274,3.5,$$,"['Seafood', 'Cajun/Creole']",Park Slope,https://www.yelp.com/biz/shaking-crab-brooklyn-brooklyn-2?osq=Restaurants
Fogo de Chao Brazilian Steakhouse,(212) 969-9980,40 W 53rd St,1119,4,$$$,"['Brazilian', 'Steakhouses']",Midtown West,https://www.yelp.com/biz/fogo-de-chao-brazilian-steakhouse-new-york-4?osq=Restaurants
Hao Noodle and Tea By Madam Zhu’s Kitchen,(212) 633-8900,401 6th Ave,652,4,$$,"['Chinese', 'Noodles']",401 6th Ave,https://www.yelp.com/biz/hao-noodle-and-tea-by-madam-zhus-kitchen-new-york?osq=Restaurants
Blue Ribbon Brasserie - SoHo,(212) 274-0404,97 Sullivan St,912,4.5,$$$,"['American (Traditional)', 'Cocktail Bars']",South Village,https://www.yelp.com/biz/blue-ribbon-brasserie-soho-new-york?osq=Restaurants
Uva,(212) 472-4552,1486 2nd Ave,2266,4,$$,"['Italian', 'Wine Bars']",Upper East Side,https://www.yelp.com/biz/uva-new-york?osq=Restaurants
Clay Pot - East Village,(646) 434-6449,58 St Mark's Pl,283,4.5,$$,['Chinese'],East Village,https://www.yelp.com/biz/clay-pot-east-village-new-york-2?osq=Restaurants
BlackTail,(212) 785-0153,22 Battery Pl,272,4.5,$$$,"['Cuban', 'Cocktail Bars']",Battery Park,https://www.yelp.com/biz/blacktail-new-york?osq=Restaurants
Malatesta Trattoria,(212) 741-1207,649 Washington St,1212,4,$$,['Italian'],West Village,https://www.yelp.com/biz/malatesta-trattoria-new-york?osq=Restaurants
Tim Ho Wan,(212) 228-2800,85 4th Ave,1592,3.5,$$,"['Dim Sum', 'Cantonese']",East Village,https://www.yelp.com/biz/tim-ho-wan-new-york-2?osq=Restaurants
Llama Inn,(718) 387-3434,50 Withers St,437,4,$$$,"['Peruvian', 'Bars']",Williamsburg - North Side,https://www.yelp.com/biz/llama-inn-brooklyn?osq=Restaurants
BCD Tofu House,(212) 967-1900,5W 32nd St,1933,4,$$,['Korean'],Koreatown,https://www.yelp.com/biz/bcd-tofu-house-new-york-3?osq=Restaurants
Ducks Eatery,(212) 432-3825,351 E 12th St,612,4,$$,"['French', 'Cajun/Creole', 'American (Traditional)']",East Village,https://www.yelp.com/biz/ducks-eatery-new-york-2?osq=Restaurants
Amy Ruth’s,(212) 280-8779,113 W 116th St,2524,4,$$,"['Southern', 'Soul Food']",Harlem,https://www.yelp.com/biz/amy-ruths-new-york?osq=Restaurants
Very Fresh Noodles,425 W 15th St,Meatpacking District,867,4.5,$$,"['Taiwanese', 'Chinese', 'Noodles']",Meatpacking District,https://www.yelp.com/biz/very-fresh-noodles-new-york?osq=Restaurants
Nyonya,(212) 334-3669,199 Grand St,2021,4,$$,"['Asian Fusion', 'Malaysian', 'Chinese']",Little Italy,https://www.yelp.com/biz/nyonya-new-york?osq=Restaurants
Rasa,(212) 254-1888,25 W 8th St,668,4,$$,"['Malaysian', 'Thai', 'Singaporean']",Greenwich Village,https://www.yelp.com/biz/rasa-new-york?osq=Restaurants
The Loeb Boathouse,(212) 517-2233,E 72nd St 5th Ave,1233,3.5,$$$,"['Boating', 'American (Traditional)', 'Cocktail Bars']",Central Park,https://www.yelp.com/biz/the-loeb-boathouse-new-york-3?osq=Restaurants
Hao Noodle Chelsea,(646) 882-0059,343 W 14th St,278,4.5,$$,"['Chinese', 'Barbeque', 'Noodles']",Meatpacking District,https://www.yelp.com/biz/hao-noodle-chelsea-new-york-7?osq=Restaurants
Lupa,(212) 982-5089,170 Thompson St,1482,4,$$$,['Italian'],Greenwich Village,https://www.yelp.com/biz/lupa-new-york?osq=Restaurants
Melba’s,(212) 864-7777,300 W 114th St,988,4,$$,"['Southern', 'American (Traditional)', 'Soul Food']",Harlem,https://www.yelp.com/biz/melbas-new-york?osq=Restaurants
The Binc,(718) 624-1444,60 Henry St,67,4.5,$$,"['Cocktail Bars', 'Tapas/Small Plates']",Brooklyn Heights,https://www.yelp.com/biz/the-binc-brooklyn?osq=Restaurants
Riko Peruvian Cuisine,(212) 643-7556,409 8th Ave,662,4,$$,"['Peruvian', 'Latin American', 'Seafood']",Chelsea,https://www.yelp.com/biz/riko-peruvian-cuisine-new-york-2?osq=Restaurants
,(646) 882-0231,26 Saint Marks Pl,284,4,$$,"['Taiwanese', 'Breakfast & Brunch', 'Asian Fusion']",East Village,https://www.yelp.com/biz/886-new-york?osq=Restaurants
Rabbit House Japanese Tapas & Sake Bar,(212) 343-4200,76 Forsyth St,215,4.5,$$,"['Tapas Bars', 'Asian Fusion', 'Izakaya']",Lower East Side,https://www.yelp.com/biz/rabbit-house-japanese-tapas-and-sake-bar-new-york?osq=Restaurants
Bubby’s High Line,(212) 219-0666,73 Gansevoort St,729,3.5,$$,"['American (Traditional)', 'Comfort Food']",Meatpacking District,https://www.yelp.com/biz/bubbys-high-line-new-york?osq=Restaurants
Diller,(917) 262-0550,357 Grand St,30,5,-,[],Lower East Side,https://www.yelp.com/biz/diller-new-york-3?osq=Restaurants
Dim Sum Palace,(646) 861-1910,334 W 46th St,1111,4,$$,"['Dim Sum', 'Cantonese']",Midtown West,https://www.yelp.com/biz/dim-sum-palace-new-york-8?osq=Restaurants
The Saint Austere,(718) 388-0012,613 Grand St,373,4.5,$$,"['Tapas Bars', 'Italian']",Williamsburg - North Side,https://www.yelp.com/biz/the-saint-austere-brooklyn?osq=Restaurants
Buvette,(212) 255-3590,42 Grove St,1671,4,$$,"['French', 'Wine Bars', 'Cocktail Bars']",West Village,https://www.yelp.com/biz/buvette-new-york?osq=Restaurants
Aurora,(718) 388-5100,70 Grand St,575,4,$$,"['Italian', 'Comfort Food']",Williamsburg - South Side,https://www.yelp.com/biz/aurora-brooklyn?osq=Restaurants
The Winslow,(212) 777-7717,243 E 14th St,503,4.5,$$,"['Pubs', 'British', 'Cocktail Bars']",Gramercy,https://www.yelp.com/biz/the-winslow-new-york-2?osq=Restaurants
Birds of a Feather,(718) 969-6800,191 Grand St,289,4,$$,['Szechuan'],Williamsburg - South Side,https://www.yelp.com/biz/birds-of-a-feather-brooklyn?osq=Restaurants
The Brazen Tavern,(646) 678-5989,356 W 44th St,344,4.5,$$,"['Bars', 'American (New)']",Midtown West,https://www.yelp.com/biz/the-brazen-tavern-new-york?osq=Restaurants
Local 92,(212) 432-2232,92 2nd Ave,389,4,$$,"['Mediterranean', 'Tapas Bars', 'Tapas/Small Plates']",East Village,https://www.yelp.com/biz/local-92-new-york-32?osq=Restaurants
Verlaine,(212) 614-2494,110 Rivington St,1401,4,$$,"['Tapas/Small Plates', 'Lounges', 'Cocktail Bars']",Lower East Side,https://www.yelp.com/biz/verlaine-new-york-2?osq=Restaurants
shabushabu Mayumon,(646) 476-7717,115 Division St,7,5,-,[],Chinatown,https://www.yelp.com/biz/shabushabu-mayumon-new-york?osq=Restaurants
Del Frisco’s Double Eagle Steakhouse,(212) 575-5129,1221 Ave Of The Americas,2860,4.5,$$$$,"['Steakhouses', 'American (New)', 'Seafood']",Theater District,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-new-york?osq=Restaurants
Noodle Pudding,(718) 625-3737,38 Henry St,553,4,$$,['Italian'],Brooklyn Heights,https://www.yelp.com/biz/noodle-pudding-brooklyn?osq=Restaurants
The Bluebell Cafe,(646) 649-2389,293 3rd Ave,593,4,$$,"['American (New)', 'Breakfast & Brunch']",Gramercy,https://www.yelp.com/biz/the-bluebell-cafe-new-york?osq=Restaurants
Selamat Pagi,(718) 701-4333,152 Driggs Ave,258,4,$$,['Indonesian'],Greenpoint,https://www.yelp.com/biz/selamat-pagi-brooklyn?osq=Restaurants
Farida Central Asian Cuisine & Grill,(646) 863-2020,498 9th Ave,219,4.5,$$,"['Uzbek', 'Russian', 'Halal']",Midtown West,https://www.yelp.com/biz/farida-central-asian-cuisine-and-grill-new-york-2?osq=Restaurants
Havana NY,(212) 944-0990,58 W 38th St,247,4,$$,"['Cuban', 'Latin American', 'Venues & Event Spaces']",Midtown West,https://www.yelp.com/biz/havana-ny-new-york-3?osq=Restaurants
Tsurutontan Udon Noodle Brasserie,(212) 989-1000,21 E 16th St,1691,4,$$,"['Japanese', 'Noodles', 'Soup']",Union Square,https://www.yelp.com/biz/tsurutontan-udon-noodle-brasserie-new-york?osq=Restaurants
Allora Ristorante,(212) 754-9800,145 E 47th St,473,4.5,$$$,"['Italian', 'Bars']",Midtown East,https://www.yelp.com/biz/allora-ristorante-new-york-2?osq=Restaurants
Oceanic Boil,(929) 296-6338,84-20 37th Ave,484,4.5,$$,"['Cajun/Creole', 'Seafood', 'Bars']",Jackson Heights,https://www.yelp.com/biz/oceanic-boil-jackson-heights?osq=Restaurants
Gotham West Market,(212) 582-7940,600 11th Ave,543,4,$$,['Food Court'],Hell's Kitchen,https://www.yelp.com/biz/gotham-west-market-new-york?osq=Restaurants
Los Tacos No.1,(212) 256-0343,Located in,2808,4.5,$,['Tacos'],Meatpacking District,https://www.yelp.com/biz/los-tacos-no-1-new-york?osq=Restaurants
Fishing Restaurant Zauo,(646) 905-2274,152 W 24th St,198,4,-,[],Chelsea,https://www.yelp.com/biz/fishing-restaurant-zauo-new-york?osq=Restaurants
Di Fara Pizza,(718) 258-1367,1424 Ave J,3340,4,$$,['Pizza'],Midwood,https://www.yelp.com/biz/di-fara-pizza-brooklyn?osq=Restaurants
Bangia,(212) 679-6790,11 E 32nd St,340,4,$$,"['Korean', 'Gastropubs', 'Cocktail Bars']",Midtown East,https://www.yelp.com/biz/bangia-new-york-2?osq=Restaurants
Sofreh,(646) 340-0322,75 St Marks Ave,203,4,$$,['Persian/Iranian'],Prospect Heights,https://www.yelp.com/biz/sofreh-brooklyn?osq=Restaurants
The Ribbon,(347) 504-7541,20 W 72nd St,370,3.5,$$,['American (New)'],Upper West Side,https://www.yelp.com/biz/the-ribbon-new-york?osq=Restaurants
Momofuku Nishi,(646) 565-4109,232 8th Ave,564,4,$$,"['Italian', 'American (New)']",Chelsea,https://www.yelp.com/biz/momofuku-nishi-new-york?osq=Restaurants
Sweetwater Restaurant,(718) 963-0608,105 N 6th St,347,4,$$,"['American (New)', 'Bars']",Williamsburg - North Side,https://www.yelp.com/biz/sweetwater-restaurant-brooklyn-2?osq=Restaurants
Cantina Rooftop,(212) 957-1700,605 W 48th St,618,3,$$,"['Lounges', 'Mexican', 'Cocktail Bars']",Hell's Kitchen,https://www.yelp.com/biz/cantina-rooftop-new-york-6?osq=Restaurants
Angeletto Restaurant,(212) 235-1227,890 2nd Ave,173,4.5,$$,['Italian'],Midtown East,https://www.yelp.com/biz/angeletto-restaurant-new-york?osq=Restaurants
SalaThai Restaurant,(212) 433-3999,307 Amsterdam Ave,263,4.5,$$,['Thai'],Upper West Side,https://www.yelp.com/biz/salathai-restaurant-new-york?osq=Restaurants
Tanner Smiths,(646) 590-2034,204 W 55th St,1592,4.5,$$,"['Cocktail Bars', 'American (New)', 'Speakeasies']",Midtown West,https://www.yelp.com/biz/tanner-smiths-new-york-2?osq=Restaurants
Bozu,(718) 384-7770,296 Grand St,807,4,$$,"['Japanese', 'Asian Fusion']",Williamsburg - South Side,https://www.yelp.com/biz/bozu-brooklyn?osq=Restaurants
Tri Dim Shanghai,(212) 585-3388,1378 3rd Ave,330,4,$$,"['Shanghainese', 'Dim Sum', 'Szechuan']",Upper East Side,https://www.yelp.com/biz/tri-dim-shanghai-new-york-2?osq=Restaurants
Carmine’s Italian Restaurant - Upper West Side,(212) 362-2200,2450 Broadway,1286,4,$$,"['Italian', 'Venues & Event Spaces', 'Caterers']",Upper West Side,https://www.yelp.com/biz/carmines-italian-restaurant-upper-west-side-new-york?osq=Restaurants
Brooklyn Beet Company,(347) 492-0020,7205 3rd Ave,422,4.5,$$,['Modern European'],Bay Ridge,https://www.yelp.com/biz/brooklyn-beet-company-brooklyn?osq=Restaurants
Takashi,(212) 414-2929,456 Hudson St,971,4,$$$,"['Japanese', 'Korean', 'Barbeque']",West Village,https://www.yelp.com/biz/takashi-new-york?osq=Restaurants
Lan Zhou Handmade Noodle,(646) 683-0939,40 Bowery St,1748,4,$,"['Chinese', 'Noodles']",Chinatown,https://www.yelp.com/biz/88-lan-zhou-handmade-noodle-new-york?osq=Restaurants
Barolo East,(212) 754-5710,214 E 49th St,59,4.5,-,[],Midtown East,https://www.yelp.com/biz/barolo-east-new-york?osq=Restaurants
Pado,(646) 476-6101,199 2nd Ave,216,4.5,$$,"['Japanese', 'Sushi Bars']",East Village,https://www.yelp.com/biz/pado-new-york?osq=Restaurants
French Louie,(718) 935-1200,320 Atlantic Ave,357,4,$$,['French'],Boerum Hill,https://www.yelp.com/biz/french-louie-boerum-hill?osq=Restaurants
Peaches,(718) 942-4162,393 Lewis Ave,1071,3.5,$$,"['Southern', 'Seafood', 'Breakfast & Brunch']",Bedford Stuyvesant,https://www.yelp.com/biz/peaches-brooklyn?osq=Restaurants
Hometown Hotpot & BBQ,(212) 219-8833,194 Grand St,1135,4,$$,"['Hot Pot', 'Barbeque']",Little Italy,https://www.yelp.com/biz/hometown-hotpot-and-bbq-new-york-2?osq=Restaurants
Tony’s Di Napoli,(212) 221-0100,147 W 43rd St,1995,4,$$,['Italian'],Theater District,https://www.yelp.com/biz/tonys-di-napoli-new-york-4?osq=Restaurants
La Pulperia Hell’s Kitchen,(212) 960-3176,371 W 46th St,743,4.5,$$$,"['Latin American', 'Seafood', 'Bars']",Midtown West,https://www.yelp.com/biz/la-pulperia-hells-kitchen-new-york?osq=Restaurants
Wah Fung No 1 Fast Food,(212) 925-5175,79 Chrystie St,1322,4.5,$,"['Chinese', 'Fast Food', 'Noodles']",Lower East Side,https://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?osq=Restaurants
Oscar Wilde,(212) 213-3066,45 W 27th St,554,4,$$,"['American (New)', 'Gastropubs']",Flatiron,https://www.yelp.com/biz/oscar-wilde-new-york-2?osq=Restaurants
Gyu-Kaku Japanese BBQ,(212) 702-8816,805 3rd Ave,1148,4,$$$,"['Japanese', 'Barbeque', 'Asian Fusion']",Midtown East,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york-2?osq=Restaurants
Pollo D’ Oro,(718) 855-8088,306 Gold St,237,4,$$,"['Peruvian', 'Latin American', 'Seafood']",Downtown Brooklyn,https://www.yelp.com/biz/pollo-d-oro-downtown-brooklyn-2?osq=Restaurants
Entwine,(212) 727-8765,765 Washington St,208,4,$$,"['Mediterranean', 'Cocktail Bars', 'Venues & Event Spaces']",West Village,https://www.yelp.com/biz/entwine-new-york?osq=Restaurants
Forma Pasta Factory,(718) 349-2009,14 Bedford Ave,100,5,$$,"['Pasta Shops', 'Italian', 'Salad']",Greenpoint,https://www.yelp.com/biz/forma-pasta-factory-brooklyn?osq=Restaurants
Dinosaur Bar-B-Que,(347) 429-7030,604 Union St,1565,3.5,$$,"['Barbeque', 'American (Traditional)']",Gowanus,https://www.yelp.com/biz/dinosaur-bar-b-que-brooklyn?osq=Restaurants
Caffe Buon Gusto,(212) 535-6884,236 E 77th St,430,4,$$,['Italian'],Upper East Side,https://www.yelp.com/biz/caffe-buon-gusto-new-york-4?osq=Restaurants
While We Were Young,(917) 675-6272,183 W 10th St,296,4,$$,"['American (New)', 'Cocktail Bars']",West Village,https://www.yelp.com/biz/while-we-were-young-new-york?osq=Restaurants
The Good Fork,(718) 643-6636,391 Van Brunt St,401,4,$$,['American (New)'],Red Hook,https://www.yelp.com/biz/the-good-fork-brooklyn?osq=Restaurants
Lokal 83 Mediterranean Kitchen,(212) 595-5554,473 Columbus Ave,279,4.5,$$,"['Mediterranean', 'American (New)', 'Wine Bars']",Upper West Side,https://www.yelp.com/biz/lokal-83-mediterranean-kitchen-new-york-2?osq=Restaurants
Chez Ma Tante,(718) 389-3606,90 Calyer St,139,4.5,$$,['American (Traditional)'],Greenpoint,https://www.yelp.com/biz/chez-ma-tante-brooklyn?osq=Restaurants
Sweet Chick,(646) 657-0233,178 Ludlow St,1535,4,$$,"['Southern', 'Breakfast & Brunch', 'American (Traditional)']",Lower East Side,https://www.yelp.com/biz/sweet-chick-new-york?osq=Restaurants
Katz’s Delicatessen,(212) 254-2246,205 E Houston St,11677,4,$$,"['Delis', 'Sandwiches', 'Caterers']",Lower East Side,https://www.yelp.com/biz/katzs-delicatessen-new-york?osq=Restaurants
Monarch Theater Restaurant,(917) 909-1596,146 Metropolitan Ave,42,5,$$,"['Pan Asian', 'Cocktail Bars']",Williamsburg - North Side,https://www.yelp.com/biz/monarch-theater-restaurant-brooklyn?osq=Restaurants
The Greek Kitchen,(212) 581-4303,889 10th Ave,481,4,$$,"['Greek', 'Mediterranean']",Hell's Kitchen,https://www.yelp.com/biz/the-greek-kitchen-new-york?osq=Restaurants
Cuba Restaurant and Rum Bar,(212) 420-7878,222 Thompson St,1510,4,$$,['Cuban'],Greenwich Village,https://www.yelp.com/biz/cuba-restaurant-and-rum-bar-new-york?osq=Restaurants
